local_id,names,count,loc,rkd,ulan,viaf,wikidata,heritage_e_number,heritage_f_number,not_assigned,oxford_dict_nat_bio,gnd
2327,George Gaven,1,,,http://vocab.getty.edu/ulan/500197057,,,E6292,F2920,,,
2329,Ellen A. Gayler,1,,,,,,E6294,F2922,,,
2333,Jacques de Geest,1,,,http://vocab.getty.edu/ulan/500051667,,,E9863,F7895,,,
2337,Joseph Geldart,1,http://id.loc.gov/authorities/names/no2009014878,,http://vocab.getty.edu/ulan/500002164,,http://www.wikidata.org/entity/Q21464545,E6297,F2925,,,
2343,G. W. Gent,1,,,,,,E6303,F2931,,,
2345,Thomas George,1,,,,,,E9291,F5922,,,
2346,D. Delaplace Gerardin,1,,,http://vocab.getty.edu/ulan/500092101,,,E6305,F2933,,,
2348,Charles March Gere,1,http://id.loc.gov/authorities/names/nr99011043,,http://vocab.getty.edu/ulan/500010682,http://viaf.org/viaf/76235681,http://www.wikidata.org/entity/Q5080648,E6307,F2935,,,https://d-nb.info/gnd/1067064990
2355,Felice Giani,1,http://id.loc.gov/authorities/names/no93001057,,http://vocab.getty.edu/ulan/500027353,http://viaf.org/viaf/37089976,http://www.wikidata.org/entity/Q3105258,E6310,F2938,,,https://d-nb.info/gnd/121808653
2356,John Gibb,1,,,http://vocab.getty.edu/ulan/500060203,,http://www.wikidata.org/entity/Q6235223,E6311,F2939,,,
2357,Robert Gibb,1,,,http://vocab.getty.edu/ulan/500028172,,http://www.wikidata.org/entity/Q18534928,E6313,F2941,,,
2361,Grinling Gibbons,1,,,http://vocab.getty.edu/ulan/500193624,,http://www.wikidata.org/entity/Q48126732,E6320,F2948,,,
2362,William Gibbons,1,,,http://vocab.getty.edu/ulan/500059997,,http://www.wikidata.org/entity/Q27915921,E6319,F2947,,,
2363,Lady Beatrice Elinor Gibbs,1,,,,,http://www.wikidata.org/entity/Q54158301,E6314,F2942,,,
2364,J. M. Gibbs,1,,,,,,E6317,F2945,,,
2366,James Gibbs,1,,,http://vocab.getty.edu/ulan/500017743,,,E6316,F2944,,,
2367,Mary Gibbs,1,,,http://vocab.getty.edu/ulan/500025254,,,E6318,F2946,,,
2368,David Gibson,1,,,http://vocab.getty.edu/ulan/500001315,,,E6322,F2950,,,
2369,Edward Gibson,1,,,http://vocab.getty.edu/ulan/500031070,,http://www.wikidata.org/entity/Q18671032,E6323,F2951,,,
2370,Francis Gibson,1,,,,,,E6324,F2952,,,
2372,Joseph Vincent Gibson,1,,,http://vocab.getty.edu/ulan/500009213,,,E6326,F2954,,,
2373,Patrick Gibson,1,http://id.loc.gov/authorities/names/no2010144245,,http://vocab.getty.edu/ulan/500020375,,http://www.wikidata.org/entity/Q7146560,E6327,F2955,,,
2375,Saloman Gibson,1,,,,,,E6330,F2958,,,
2376,Susan Penelope Gibson,1,http://id.loc.gov/authorities/names/nr92032808,,http://vocab.getty.edu/ulan/500028840,,http://www.wikidata.org/entity/Q18672368,E8658,F5284,,,
2384,J. Gilbert,1,,,http://vocab.getty.edu/ulan/500088839,,,E4913,F1621,,,
2388,Kate Elizabeth Gilbert,1,,,http://vocab.getty.edu/ulan/500089029,,,E6360,F2988,,,
2392,John West Giles,1,,,http://vocab.getty.edu/ulan/500005794,,http://www.wikidata.org/entity/Q58196508,E6344,F2972,,,
2393,R. H. Giles,1,,,,,,E6343,F2971,,,
2394,John Alexander Gilfillan,1,http://id.loc.gov/authorities/names/nb2001036640,,http://vocab.getty.edu/ulan/500031977,,http://www.wikidata.org/entity/Q21460090,E6337,F2965,,,
2397,Edmund Ward Gill,1,,,http://vocab.getty.edu/ulan/500141810,,,E9864,F7896,,,
2409,John Bernard Gilpin,1,,,http://vocab.getty.edu/ulan/500022171,,http://www.wikidata.org/entity/Q97105200,E6361,F2989,,,
2417,William Girtin,1,,,,,,E6352,F2980,,,
2418,Thomas Gisborne,1,,,http://vocab.getty.edu/ulan/500142113,,,E6353,F2981,,,
2422,John Glass,1,,,http://vocab.getty.edu/ulan/500021581,,,E6369,F2998,,,
2427,Edward Lees Glew,1,,,http://vocab.getty.edu/ulan/500087409,,http://www.wikidata.org/entity/Q47498301,E6385,F3005,,,
2429,Isobel Lilian Gloag,1,,,http://vocab.getty.edu/ulan/500013313,http://viaf.org/viaf/95762295,http://www.wikidata.org/entity/Q19748500,E6384,F3004,,,https://d-nb.info/gnd/115482702X
2430,George Glover,1,,,http://vocab.getty.edu/ulan/500002407,,,E6382,F3002,,,
2432,Joseph Glover,1,,,,,,E6383,F3003,,,
2435,Robert Charles Goff,1,http://id.loc.gov/authorities/names/n82275123,,http://vocab.getty.edu/ulan/500024289,http://viaf.org/viaf/28437963,http://www.wikidata.org/entity/Q7342874,E6389,F3009,,,https://d-nb.info/gnd/113303439X
2440,John Golding,1,http://id.loc.gov/authorities/names/n50034590,,http://vocab.getty.edu/ulan/500030340,http://viaf.org/viaf/49237355,http://www.wikidata.org/entity/Q16019396,E4088,F859,,,https://d-nb.info/gnd/141495502
2441,James Gooch,1,,,http://vocab.getty.edu/ulan/500030314,,,E6397,F3017,,,
2449,Stephen Gooden,1,http://id.loc.gov/authorities/names/n81093649,,http://vocab.getty.edu/ulan/500000978,,http://www.wikidata.org/entity/Q18528456,E6402,F3022,,,
2450,Guy Goodfellow,1,,,http://vocab.getty.edu/ulan/500281561,,,E6403,F3023,,,
2451,Maude Goodman,1,http://id.loc.gov/authorities/names/nb2001002185,,http://vocab.getty.edu/ulan/500020932,http://viaf.org/viaf/59358597,http://www.wikidata.org/entity/Q19463079,E6404,F3024,,,https://d-nb.info/gnd/1088347827
2453,Henry Edward Goodrich,1,,,,,,E6406,F3026,,,
2454,Henry Edmund Goodridge,1,,,http://vocab.getty.edu/ulan/500015230,http://viaf.org/viaf/95774458,http://www.wikidata.org/entity/Q5722056,E6407,F3027,,,https://d-nb.info/gnd/188443487
2457,S. Goodwine,1,,,http://vocab.getty.edu/ulan/500089154,,,E6410,F3030,,,
2458,Michele Gordigiani,1,http://id.loc.gov/authorities/names/n95060112,,http://vocab.getty.edu/ulan/500026101,http://viaf.org/viaf/10653625,http://www.wikidata.org/entity/Q1567177,E6411,F3031,,,https://d-nb.info/gnd/119320320
2459,Alexander John Gordon,1,,,http://vocab.getty.edu/ulan/500019052,,,E6413,F3033,,,
2460,James Gordon,1,,,http://vocab.getty.edu/ulan/500008025,,,E6414,F3034,,,
2466,William Crampton Gore,1,,,http://vocab.getty.edu/ulan/500082774,,http://www.wikidata.org/entity/Q15997341,E5657,F2291,,,
2469,Laura Sylvia Gosse,1,http://id.loc.gov/authorities/names/no90025799,,http://vocab.getty.edu/ulan/500029310,http://viaf.org/viaf/14331798,http://www.wikidata.org/entity/Q7660922,E4988,F1697,,,https://d-nb.info/gnd/1319479537
2470,Joshua Gosselin,1,http://id.loc.gov/authorities/names/n82209984,,http://vocab.getty.edu/ulan/500142729,http://viaf.org/viaf/10757183,http://www.wikidata.org/entity/Q30095146,E6417,F3037,,,https://d-nb.info/gnd/12355585X
2474,A. Gottfried,1,,,http://vocab.getty.edu/ulan/500072841,,,E6419,F3039,,,
2477,John Gould,1,http://id.loc.gov/authorities/names/n79100355,,http://vocab.getty.edu/ulan/500006638,http://viaf.org/viaf/29597222,http://www.wikidata.org/entity/Q313787,E4985,F1694,,,https://d-nb.info/gnd/118696769
2478,Richard Reginald H. Goulden,1,,,http://vocab.getty.edu/ulan/500193585,,http://www.wikidata.org/entity/Q7328639,E7088,F3709,,,
2480,Louis Goupy,1,,,http://vocab.getty.edu/ulan/500078645,,http://www.wikidata.org/entity/Q3262070,E6422,F3042,,,
2482,James Gow,1,,,http://vocab.getty.edu/ulan/500029201,,,E6424,F3044,,,
2487,Francisco Javier de Goya,1,,,http://vocab.getty.edu/ulan/500108937,,,E6428,F3048,,,
2488,J. W. Gozzard,1,,,http://vocab.getty.edu/ulan/500005605,,,E6429,F3049,,,
2489,Alfred Fitzwalter Grace,1,http://id.loc.gov/authorities/names/nr99033571,,http://vocab.getty.edu/ulan/500027320,,http://www.wikidata.org/entity/Q19698288,E6430,F3050,,,
2490,Harriet Edith Grace,1,,,,,http://www.wikidata.org/entity/Q21466276,E6431,F3051,,,
2497,John Granby,1,,,,,,E6437,F3057,,,
2501,Mary K. Grant,1,,,http://vocab.getty.edu/ulan/500336587,,,E7089,F3710,,,
2503,Charles-Louis Gratia,1,,,http://vocab.getty.edu/ulan/500155218,,http://www.wikidata.org/entity/Q2959677,E6441,F3061,,,
2504,George Grattan,1,,,http://vocab.getty.edu/ulan/500002075,,http://www.wikidata.org/entity/Q41742921,E6442,F3062,,,
2510,Dale P. Gravett,1,,,http://vocab.getty.edu/ulan/500073946,,,E6446,F3066,,,
2511,Alice Gray,1,,,,,,E6447,F3067,,,
2514,Kate Gray,1,,,http://vocab.getty.edu/ulan/500027469,,http://www.wikidata.org/entity/Q21021867,E6449,F3069,,,
2515,Sir William Gray,1,,,http://vocab.getty.edu/ulan/500272211,,,E6450,F3070,,,
2516,Henry Greaves,1,,,http://vocab.getty.edu/ulan/500024386,,,E6456,F3076,,,
