count,name,pseudonym,source,active_from,active_to,viaf,ulan,wikidata,wikipedia,source,loc,gnd
246,Beccafumi Domenico,Mecarino,data and vocab,1500,1599,http://viaf.org/viaf/10120260,http://vocab.getty.edu/ulan/500012009,http://www.wikidata.org/entity/Q455712,http://it.wikipedia.org/wiki/Domenico_di_Pace_Beccafumi,data and vocab,http://id.loc.gov/authorities/names/nr90011126,https://d-nb.info/gnd/118930192
242,Negretti Jacopo,Palma il Giovane,data,1500,1684,http://viaf.org/viaf/90630874,http://vocab.getty.edu/ulan/500027810,http://www.wikidata.org/entity/Q651795,http://it.wikipedia.org/wiki/Palma_il_Giovane,data,http://id.loc.gov/authorities/names/n84155958,https://d-nb.info/gnd/11878935X
242,Negretti Iacopo,Palma il Vecchio,data and vocab,1500,1599,http://viaf.org/viaf/199186983,http://vocab.getty.edu/ulan/500014786,http://www.wikidata.org/entity/Q9342,http://it.wikipedia.org/wiki/Palma_Vecchio,data and vocab,http://id.loc.gov/authorities/names/n82050333,https://d-nb.info/gnd/118976435
240,Tisi Benvenuto,Garofalo,data,1500,1599,http://viaf.org/viaf/90737250,http://vocab.getty.edu/ulan/500011286,http://www.wikidata.org/entity/Q728512,,data,http://id.loc.gov/authorities/names/nr91026495,https://d-nb.info/gnd/119195909
237,Lippi Filippo,,vocab,1425,1499,http://viaf.org/viaf/88683746,http://vocab.getty.edu/ulan/500019158,http://www.wikidata.org/entity/Q205148,,vocab,http://id.loc.gov/authorities/names/n81080566,https://d-nb.info/gnd/118728539
232,Pitati Bonifacio de',Bonifacio Veronese,data and vocab,1500,1575,http://viaf.org/viaf/71666584,http://vocab.getty.edu/ulan/500014243,http://www.wikidata.org/entity/Q744747,http://it.wikipedia.org/wiki/Bonifazio_Veronese,data and vocab,http://id.loc.gov/authorities/names/no2003079572,https://d-nb.info/gnd/102425728
230,Gerini Niccolò di Pietro,,data and vocab,1365,1415,http://viaf.org/viaf/95813665,http://vocab.getty.edu/ulan/500021490,http://www.wikidata.org/entity/Q1077403,http://it.wikipedia.org/wiki/Niccol%C3%B2_di_Pietro_Gerini,data and vocab,http://id.loc.gov/authorities/names/nr91028659,https://d-nb.info/gnd/122901592
227,Signorelli Luca,,data and vocab,1470,1559,http://viaf.org/viaf/95704601,http://vocab.getty.edu/ulan/500003947,http://www.wikidata.org/entity/Q7031,,data and vocab,http://id.loc.gov/authorities/names/n84012710,https://d-nb.info/gnd/174272618
226,Giovanni di Paolo,,data and vocab,1420,1499,http://viaf.org/viaf/96544879,http://vocab.getty.edu/ulan/500116438,http://www.wikidata.org/entity/Q946420,,data and vocab,http://id.loc.gov/authorities/names/n86042313,https://d-nb.info/gnd/118717588
222,Cima Giovanni Battista,Cima da Conegliano,data and vocab,1475,1593,http://viaf.org/viaf/112711982,http://vocab.getty.edu/ulan/500012627,http://www.wikidata.org/entity/Q8453,,data and vocab,http://id.loc.gov/authorities/names/n79142642,https://d-nb.info/gnd/118638394
217,Maratta Carlo,,vocab,1600,1799,http://viaf.org/viaf/20490339,http://vocab.getty.edu/ulan/500118927,http://www.wikidata.org/entity/Q538998,,vocab,http://id.loc.gov/authorities/names/n91127105,https://d-nb.info/gnd/119414651
215,Raibolini Francesco,Francia,data and vocab,1462,1550,http://viaf.org/viaf/310519307,http://vocab.getty.edu/ulan/500115527,http://www.wikidata.org/entity/Q260057,,data and vocab,http://id.loc.gov/authorities/names/nr92040908,https://d-nb.info/gnd/102458979
214,Piazzetta Giovanni Battista,,vocab,1700,1799,http://viaf.org/viaf/109273119,http://vocab.getty.edu/ulan/500003532,http://www.wikidata.org/entity/Q282670,,vocab,http://id.loc.gov/authorities/names/n83190325,https://d-nb.info/gnd/118792032
211,Gaddi Agnolo,,data and vocab,1370,1424,http://viaf.org/viaf/95814443,http://vocab.getty.edu/ulan/500021601,http://www.wikidata.org/entity/Q363296,http://it.wikipedia.org/wiki/Agnolo_Gaddi,data and vocab,http://id.loc.gov/authorities/names/n95092659,https://d-nb.info/gnd/118716069
