platinotipia/ carta,technique
polaroid,technique
punta metallica su carta,type
stampa a getto d'inchiostro,type
stampa a getto d'inchiostro,technique
stampa a inchiostro solido,technique
stampa a inchiostro solido,type
stampa a sviluppo cromogeno,type
stampa a sviluppo cromogeno,technique
stampa fotomeccanica,technique
stampa fotomeccanica a mezzatinta,type
stampa fotomeccanica a mezzatinta,technique
stampa fotomeccanica Dupont Cromalin,technique
stampa fotomeccanica Dupont Cromalin,type
stampa in quadricromia,technique
stampa in quadricromia,type
stampa in tricromia,technique
stampa in tricromia,type
stampa laser,type
stampa laser,technique
tempera su tavola,material
tempera su tela,material
tempera su terracotta,material
tempera trasportata su tela,material
terracotta,material
terracotta a rilievo,material
terracotta dipinta,material
terracotta invetriata,material
terracotta smaltata,material
terraglia,material
terraglia dipinta,material
tessere lapidee,material
tessere lapidee,type
tessuto,material
tessuto operato,material
tessuto ricamato,material
travertino,material
travertino scolpito,material
tufo,material
tufo scolpito,material
varie,material
vetro,material
vetro dipinto,material
vetro dorato,material
Woodburytype,type
Woodburytype,technique
Woodburytype,material
