LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
Asta American Art Galleries,AH,,,,,,
Asta Anderson,AH,,,,,,
Asta Artaria,AH,,,,,,
Asta Artcurial,AH,,,,,,
Asta Artemisia Auctions,AH,,,,,,
Asta Artistic Finding,AH,,,,,,
Asta Bachstitz,AH,,,,,,
Asta Ball-Graupe,AH,,,,,,
Asta Bangel,AH,,,,,,
Asta Bearne's,AH,,,,,,
Asta Bearnes,AH,,,,,,
Asta Blindarte,AH,,,,,,
Asta Bloomsbury,AH,,,,,,
Asta Boetto,AH,,,,,,
Asta Böhler,AH,,,,,,
Asta Böhler & Steinmeyer,AH,,,,,,
Asta Bolasco,AH,,,,,,
Asta Bonhams,AH,,,,,,
Asta Brackett,AH,,,,,,
Asta Brerarte,AH,,,,,,
Asta Bruton Knowles,AH,,,,,,
Asta Bruun Rasmussen,AH,,,,,,
Asta Bukowskis,AH,,,,,,
Asta Capitolium,AH,,,,,,
Asta Capobianchi,AH,,,,,,
Asta Casa di vendite S. Innocenti,AH,,,,,,
Asta Cassirer,AH,,,,,,
Asta Cassirer-Helbing,AH,,,,,,
Asta Castells,AH,,,,,,
Asta Chevallier-Duchesne,AH,,,,,,
Asta Christie's,AH,,,,,,
Asta Christie's (?),AH,,,,,,
Asta Claude Aguttes,AH,,,,,,
Asta Corvisieri,AH,,,,,,
Asta De Crescenzo,AH,,,,,,
Asta Despinoy,AH,,,,,,
Asta Dorotheum,AH,,,,,,
Asta Doyle,AH,,,,,,
Asta Dr. Walther Achenbach,AH,,,,,,
Asta Drouot,AH,,,,,,
Asta Drouot Montaigne,AH,,,,,,
Asta Drouot Richelieu,AH,,,,,,
Asta Étude Couturier,AH,,,,,,
Asta Étude Tajan,AH,,,,,,
Asta Farsetti,AH,,,,,,
Asta Fifth Avenue Art Galleries,AH,,,,,,
Asta Finarte,AH,,,,,,
Asta Fischer,AH,,,,,,
Asta Fleischhauer,AH,,,,,,
Asta Fraia,AH,,,,,,
Asta Frederik Muller & Cie,AH,,,,,,
Asta G. Stanley,AH,,,,,,
Asta Galardelli,AH,,,,,,
Asta Galardelli e Mazzoni,AH,,,,,,
Asta Galerie Charpentier,AH,,,,,,
Asta Galerie Fievez,AH,,,,,,
Asta Galerie Georges Giroux,AH,,,,,,
Asta Galerie Georges Petit,AH,,,,,,
Asta Galerie Koller,AH,,,,,,
Asta Galerie Manzi Joyant,AH,,,,,,
Asta Galleria Bellini,AH,,,,,,
Asta Galleria Canessa,AH,,,,,,
Asta Galleria Ciardiello,AH,,,,,,
Asta Galleria d'Arte,AH,,,,,,
Asta Galleria d'Arte Geri,AH,,,,,,
Asta Galleria d'arte Giosi,AH,,,,,,
Asta Galleria Dedalo,AH,,,,,,
Asta Galleria Duomo,AH,,,,,,
Asta Galleria Innocenti,AH,,,,,,
Asta Galleria Lurati,AH,,,,,,
Asta Galleria Manzoni,AH,,,,,,
Asta Galleria Pesaro,AH,,,,,,
Asta Galleria Sangiorgi,AH,,,,,,
Asta Galleria Scopinich,AH,,,,,,
Asta Galleria Sedelmeyer,AH,,,,,,
Asta Galleria Simonetti,AH,,,,,,
Asta Galleria Vangelisti,AH,,,,,,
Asta Galleria Vitelli,AH,,,,,,
Asta Galleria Warowland,AH,,,,,,
Asta Gelardini,AH,,,,,,
Asta Genolini,AH,,,,,,
Asta Geri,AH,,,,,,
Asta Giacomini,AH,,,,,,
Asta Giacomini e Capobianchi,AH,,,,,,
Asta Glückselig,AH,,,,,,
Asta Graupe,AH,,,,,,
Asta H. Spencer & Sons,AH,,,,,,
Asta Habsburg Fine Art,AH,,,,,,
Asta Hampel Fine Art,AH,,,,,,
Asta Heberle,AH,,,,,,
Asta Helbing,AH,,,,,,
Asta Helbing-Rambaldi,AH,,,,,,
Asta Henry's,AH,,,,,,
Asta Hollis & Webb,AH,,,,,,
Asta Hôtel des ventes,AH,,,,,,
Asta Hôtel des ventes Poincaré,AH,,,,,,
Asta Hôtel Drouot,AH,,,,,,
Asta Hugo Ruef,AH,,,,,,
Asta Il Ponte,AH,,,,,,
Asta Internationales Auktionshaus,AH,,,,,,
Asta IRVEG (Istituti Riuniti Vendite Giudiziarie),AH,,,,,,
Asta Ivey-Selkirk,AH,,,,,,
Asta J. & A. Le Roy,AH,,,,,,
Asta Jandolo e Tavazzi,AH,,,,,,
"Asta Jandolo e Tavazzi, Galleria Sangiorgi",AH,,,,,,
Asta Kende Galleries,AH,,,,,,
Asta Kende Galleries of Gimbel Bros.,AH,,,,,,
"Asta Knight, Frank & Rutley",AH,,,,,,
Asta Kunst und Auktionshaus,AH,,,,,,
Asta L'Antonina,AH,,,,,,
Asta Lacoste,AH,,,,,,
Asta Lange,AH,,,,,,
Asta Langford,AH,,,,,,
Asta Le Brun,AH,,,,,,
Asta Lempertz,AH,,,,,,
Asta Lempertz-Heberle,AH,,,,,,
Asta Lepke,AH,,,,,,
Asta Luccaste-Rubinacci,AH,,,,,,
Asta Luigi Battistelli,AH,,,,,,
Asta Maison d'Art,AH,,,,,,
Asta Manzoni Finarte,AH,,,,,,
Asta Meeting Art,AH,,,,,,
Asta Mont,AH,,,,,,
Asta Neumeister,AH,,,,,,
Asta Paillet,AH,,,,,,
Asta Palàcio do Correio Velho,AH,,,,,,
Asta Palais d'Orsay,AH,,,,,,
Asta Palais des Congrès,AH,,,,,,
Asta Palais Galliera,AH,,,,,,
Asta Palazzo internazionale delle aste ed esposizioni,AH,,,,,,
Asta Pandolfini,AH,,,,,,
Asta Parke-Bernet,AH,,,,,,
Asta Phillips,AH,,,,,,
Asta Phillips Son & Neale,AH,,,,,,
Asta Pitti,AH,,,,,,
Asta Plaza Art Galleries,AH,,,,,,
Asta Porro & Co.,AH,,,,,,
Asta Prestage,AH,,,,,,
Asta Puttick & Simpson,AH,,,,,,
Asta Rambaldi,AH,,,,,,
Asta Rieunier & Associés,AH,,,,,,
Asta Robinson,AH,,,,,,
Asta Robinson and Fisher's,AH,,,,,,
Asta Rubinacci,AH,,,,,,
Asta S.W. Pattison & Co. e Parke Bernet Galleries,AH,,,,,,
Asta Salamon Augustoni Algranti,AH,,,,,,
Asta Sambon,AH,,,,,,
Asta Samuel T. Freeman & Co.,AH,,,,,,
Asta San Marco,AH,,,,,,
Asta Sangiorgi,AH,,,,,,
Asta Schidlof,AH,,,,,,
Asta Semenzato,AH,,,,,,
Asta Slatner,AH,,,,,,
Asta Sotheby's,AH,,,,,,
Asta Sotheby's Bearne-Torquay,AH,,,,,,
Asta Stuker,AH,,,,,,
Asta Tavazzi,AH,,,,,,
Asta Van Zadelhoff Veilingen en Taxaties,AH,,,,,,
Asta Villa Giovanelli,AH,,,,,,
Asta Vincent,AH,,,,,,
Asta Wannenes,AH,,,,,,
Asta Wertheim,AH,,,,,,
Astley-Cheetham Art Gallery,M,,,,,,
Ateneum,M,,,,,,
Athenaeum,M,,,,,,
Attingham Park,B,,,,,,
Auckland Art Gallery,M,,,,,,
Augustinerkirche,B,,,,,,
Aurora Trust Foundation,M,,,,,,
"Austin Arts Center, Trinity College",M,,,,,,
Azienda Ospedaliera,C,,,,,,
Azienda USL,C,,,,,,
B. Bracaglia,A,,,,,,
B. Haboldt,A,,,,,,
B. Huboldt,A,,,,,,
B. Koetser,A,,,,,,
B. Pardo,A,,,,,,
"Baberton House, collezione C.G. Sommerville",B,C,,,,,
Bacarelli,A,,,,,,
"Badger Hall, collezione E. Cheney",B,C,,,,,
"Badger Hall, collezione F.T. Capel-Cure",B,C,,,,,
Badia,B,,,,,,
"Badia a Vigesimo, Chiesa di S. Maria",B,B,,,,,
