id,uri
.b10141182,https://artresearch.net/resource/pharos/artwork/96ece12b29436eca02f1ee723ff878d8e75a39d8
.b10141285,https://artresearch.net/resource/pharos/artwork/34a3bf285adfe0f72c0cee3526eb2081d1dae323
.b10141133,https://artresearch.net/resource/pharos/artwork/1057ce4c581ca01c459cd787ccbf70ddb04c208a
.b10141121,https://artresearch.net/resource/pharos/artwork/1f26521d9852480dd934bd8507dcc85cb64ba7b2
.b10141236,https://artresearch.net/resource/pharos/artwork/1bcbe08434bd2796676eeacaa2804a5d6d308398
.b10141224,https://artresearch.net/resource/pharos/artwork/235329f85cd50a8cff7323bc17e5c5561d9c3cee
.b1014125x,https://artresearch.net/resource/pharos/artwork/2a44c27b9b0f97169f70ce281f166b42f3d3e943
.b10141169,https://artresearch.net/resource/pharos/artwork/4f995bf8152be1c56172af696e8ea237364d4aeb
.b10141170,https://artresearch.net/resource/pharos/artwork/637630a88ad65ea58775ef2f20da7fd419b00e93
.b10141297,https://artresearch.net/resource/pharos/artwork/5655192db5466d5f058e3beda14f18d18164c2a5
.b10141303,https://artresearch.net/resource/pharos/artwork/5655192db5466d5f058e3beda14f18d18164c2a5
.b10141194,https://artresearch.net/resource/pharos/artwork/0280342a48752c1e920329945293fc6634d5f877
.b10141157,https://artresearch.net/resource/pharos/artwork/2a08e0431780233f25e41677cdac3897c5a75c1e
.b10141145,https://artresearch.net/resource/pharos/artwork/4c5003a1ef8fa4a3db250d7859f95ce38ea91304
.b10141200,https://artresearch.net/resource/pharos/artwork/49a9f691e01874eceaf0846366517b799d85e587
.b10141212,https://artresearch.net/resource/pharos/artwork/c4832bd2e039527fe836bd865fa8c1d4ecf6426e
.b10141856,https://artresearch.net/resource/pharos/artwork/6e589686174df31584fcd82698c7ce10b7ed718b
.b10141844,https://artresearch.net/resource/pharos/artwork/b840f5e2bfb30e2f1734d56a1a72090c0f1adb10
.b10141868,https://artresearch.net/resource/pharos/artwork/3117db14ff62975740bdbf04154aeae0e8429b01
.b10141832,https://artresearch.net/resource/pharos/artwork/3ad1ed6216a840891fee011abb3503b6b575727b
.b1014187x,https://artresearch.net/resource/pharos/artwork/7201c9e4b468e676403444eda64405207498ef3c
.b10334221,https://artresearch.net/resource/pharos/artwork/120aa08491a506e570d0320c3b629f9a351aeb54
.b10141674,https://artresearch.net/resource/pharos/artwork/8fa214706a8c4acc31b2d95da4aea24ef5fcc788
.b10334786,https://artresearch.net/resource/pharos/artwork/1b66a5c7214573eacf8a1c3a98ea0afe4057a47f
.b10334737,https://artresearch.net/resource/pharos/artwork/26487ce31d7b650016f4e34ab34e459b0db9ebc3
.b10334804,https://artresearch.net/resource/pharos/artwork/79de3aeb3356dcf71b3725437a820120d642e10e
.b10334713,https://artresearch.net/resource/pharos/artwork/3b49d343726d03d43aa28442f282179128aa8aa3
.b10334725,https://artresearch.net/resource/pharos/artwork/50b7d2f474eaf5629f703ceba11f257c59a9d092
.b10334749,https://artresearch.net/resource/pharos/artwork/86cc2faebcc4e54812cc74c21e4c8c7c05f34580
