photographer,institute,wikidata,rev,discuss,possible umbrella term,separate entity,scope note (separate entity),scope note (umbrella term),Note,entity type,uncertainty,collaboration,,,,Quick stats,,,,,
"Anderson, Domenico?",marburg,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,"Anderson, Domenico",,,,,,,,,,
"D. Anderson, Rome (1927)",frick,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,,,,,,,,,,,
"D. Anderson, Rome, 1928",frick,http://www.wikidata.org/entity/Q3034711,TRUE,,Anderson,"Anderson, Domenico",,,,person,,,,,,,,,,,
"Anderson?, James",hertziana,http://www.wikidata.org/entity/Q3160907,TRUE,,Anderson,"Anderson, James",,,in wikidata: James Anderson,person,"Anderson, James",,,,,,,,,,
"Anderson, James",hertziana,http://www.wikidata.org/entity/Q3160907,TRUE,,Anderson,"Anderson, James",,,,person,,,,,,,,,,,
"Anderson, James (?)",hertziana,http://www.wikidata.org/entity/Q3160907,TRUE,,Anderson,"Anderson, James",,,,person,"Anderson, James",,,,,,,,,,
Anderson,khi,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,wrong reconciliation: removed,atelier,,,,,,,,,,,
Anderson?,khi,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,"Anderson, Rome",,,,,,,,,,
Anderson,hertziana,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,wrong reconciliation: removed,atelier,,,,,,,,,,,
Anderson?,hertziana,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,wrong reconciliation: removed,atelier,"Anderson, Rome",,,,,,,,,,
"Anderson, ?",hertziana,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,"Anderson, Rome",,,,,,,,,,
Anderson,frick,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson ?,frick,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,"Anderson, Rome",,,,,,,,,,
"Anderson, Rome",frick,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Rome photograph",frick,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (active 1853-1960),itatti,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (active 1853-1960) photographer,itatti,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (active 1853-1963),itatti,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (active 1853-1963)?,itatti,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,"Anderson, Rome",,,,,,,,,,
Anderson,zeri,http://www.wikidata.org/entity/Q85724670,TRUE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Aderson,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"D. Anderson, Rome",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderosn,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderosn, Rome",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Andersdon,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Ànderson,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (?),frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (Coll. Lotze),frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (Lotze),frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson (Spl),frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson 5363,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson 767,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson Galleries,frick,http://www.wikidata.org/entity/Q72940895,FALSE,,Anderson,Anderson Galleries,,,,institution,,,,,,,,,,,
"Anderson Galleries, New York",frick,http://www.wikidata.org/entity/Q72940895,FALSE,,Anderson,Anderson Galleries,,,,institution,,,,,,,,,,,
"Anderson Photo Co., Kansas City, Missouri",frick,none,FALSE,,Anderson,Anderson Photo Company,,,,,,,,,,,,,,,
"Anderson photo Company, kanas City, Missouri",frick,none,FALSE,,Anderson,Anderson Photo Company,,,,,,,,,,,,,,,
"Anderson Photo Company, Kansas City, Missouri",frick,none,FALSE,,Anderson,Anderson Photo Company,,,,,,,,,,,,,,,
Anderson photograph,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson photograph, Rome",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson photography, Kansas City",frick,none,FALSE,,Anderson,Anderson Photo Company,,,,,,,,,,,,,,,
Anderson Rome,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Florence",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Madrid",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Rom",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Roma",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, rome",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"anderson, Rome",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Rome (photographed in 1930)",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Rome photographer",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, Rome, photographer",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson, row of Sciences and Arts",frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
Anderson?,frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
"Anderson's, Santa Barbara",frick,none,FALSE,,Anderson,"Anderson's, Santa Barbara",,,,,,,,,,,,,,,
Anderson(Lotze),frick,http://www.wikidata.org/entity/Q85724670,FALSE,,Anderson,"Anderson, Rome",,,,atelier,,,,,,,,,,,
