Angeli musicanti,11 G 21 : 48 C 75 3,TRUE
Carità,11 M 33,TRUE
Mosè fa scaturire l'acqua dalla roccia,71 E 12 63,TRUE
Cristo in pietà sorretto da angeli,73 D 73 32,TRUE
Evangelisti,11 I 41,TRUE
San Nicola da Tolentino,11 H (NICHOLAS OF TOLENTINO),TRUE
Sant'Orsola,11 HH (URSULA),TRUE
Venere e Adone,92 C 42 1,TRUE
Estasi di san Francesco d'Assisi,11 H (FRANCIS) 37,TRUE
Immacolata Concezione,73 A 23 52,TRUE
San Gregorio Magno,11 H (GREGORY),TRUE
Scena biblica,71,TRUE
Cristo in pietà e angeli,73 D 73 32,TRUE
Martirio di san Bartolomeo,73 F 27 4,TRUE
San Giorgio,11 H (GEORGE),TRUE
Sant'Ambrogio,11 H (AMBROSE),TRUE
Crocifissione di san Pietro,73 F 21 65,TRUE
Madonna assunta,73 E 77,TRUE
Quattro evangelisti,11 I 41,TRUE
Ritorno del figliol prodigo,73 C 86 46 1,TRUE
Santa Barbara,11 HH (BARBARA),TRUE
Sant'Apollonia,11 HH (APOLLONIA),TRUE
Cristo alla colonna,73 D 35 12 1,TRUE
Giuseppe e la moglie di Putifarre,71 D 13 31,TRUE
Incontro di sant'Anna e san Gioacchino alla Porta Aurea,73 A 23 5,TRUE
Lavanda dei piedi,73 D 23,TRUE
Cristo caccia i mercanti dal Tempio,73 D 15,TRUE
David,11 I 62 (DAVID),TRUE
San Martino dona parte del mantello al povero,11 H (MARTIN) 41,TRUE
Trasporto di Cristo al sepolcro,73 D 74,TRUE
Bacio di Giuda,73 D 31 2,TRUE
Ratto di Europa,92 B 12 18,TRUE
Baccanale,92 L 17 91,TRUE
Dottori della Chiesa,11 I 5,TRUE
Martirio di san Pietro Martire,11 H (PETER MARTYR) 68,TRUE
Incoronazione di spine,73 D 35 2,TRUE
Isaia,11 I 62 (ISAIAH),TRUE
Creazione di Eva,71 A 34,TRUE
Cristo incontra santa Veronica,73 D 41 5,TRUE
Entrata di Cristo in Gerusalemme,73 D 14,TRUE
Peccato originale,71 A 42,TRUE
Pie donne al sepolcro,73 E 22,TRUE
Ritratto di ecclesiastico,11 P 3 : 61 B 11 1 (+52),TRUE
Santa Caterina da Siena,11 HH (CATHERINE OF SIENA),TRUE
Santa Maria Maddalena portata in cielo dagli angeli,11 HH (MARY MAGDALENE) 36 1,TRUE
Madonna con Bambino dormiente,11 F 4 : 11 F 71 4,TRUE
Ratto delle Sabine,96 D (SABINE WOMEN) 61,TRUE
Bethsabea al bagno,71 H 71,TRUE
Madonna del Rosario,11 F 62 3,TRUE
San Girolamo in preghiera nella grotta,11 H (JEROME) 36 1,TRUE
San Sebastiano curato dalla vedova Irene,11 H (SEBASTIAN) 63,TRUE
Caino uccide Abele,71 A 82,TRUE
Filosofo,49 C 3,TRUE
Morte di Cleopatra,98 C (CLEOPATRA) 68,TRUE
Paradiso,11 S 6,TRUE
Perseo libera Andromeda,94 P 21 2,TRUE
Santa Margherita d'Antiochia,11HH (MARGARET),TRUE
Cleopatra,98 C (CLEOPATRA),TRUE
Cristo in pietà e simboli della Passione,73 D 73 1 : 73 D 82,TRUE
Moltiplicazione dei pani e dei pesci,73 C 61 2,TRUE
San Biagio,11 H (BLAISE),TRUE
Venere,92 C 4,TRUE
Angelo custode,11 G 41,TRUE
Morte di Lucrezia,98 C (LUCRETIA) 68,TRUE
San Girolamo nello studio,11 H (JEROME) 12,TRUE
San Leonardo,11 H (LEONARD),TRUE
Liberazione di san Pietro,73 F 21 43,TRUE
Abramo e i tre angeli,71 C 12 2,TRUE
Cristo crocifisso con la Madonna e san Giovanni Evangelista,73 D 64 1,TRUE
Cristo davanti a Pilato,73 D 32 3,TRUE
Cristo in casa di Marta e Maria di Betania,73 C 72 23,TRUE
Figura allegorica femminile,5 (+11),TRUE
Toletta di Venere,92 C 45 2,TRUE
Agar e Ismaele nel deserto confortati dall'angelo,71 C 12 84 11,TRUE
Cristo,11 D,TRUE
