count,name,date,type,loc,viaf,ulan,source,wikidata,gnd
52,"Haarlem, Cornelis Corneliszoon van",1562-1638,person,http://id.loc.gov/authorities/names/n92013403,http://viaf.org/viaf/35257139,http://vocab.getty.edu/ulan/500020887,data,http://www.wikidata.org/entity/Q442484,https://d-nb.info/gnd/119014459
52,"Meléndez, Luis",1716-1780,person,http://id.loc.gov/authorities/names/n83199949,http://viaf.org/viaf/50050308,http://vocab.getty.edu/ulan/500012595,data,http://www.wikidata.org/entity/Q707478,https://d-nb.info/gnd/120175037
52,"Lastman, Pieter",1583-1633,person,http://id.loc.gov/authorities/names/nr92018116,http://viaf.org/viaf/47010928,http://vocab.getty.edu/ulan/500032894,data,http://www.wikidata.org/entity/Q352864,https://d-nb.info/gnd/11856997X
52,"Scheffer, Ary",1795-1858,person,http://id.loc.gov/authorities/names/n84100030,http://viaf.org/viaf/2478799,http://vocab.getty.edu/ulan/500001962,data,http://www.wikidata.org/entity/Q436726,https://d-nb.info/gnd/118975072
52,"Cleef, Joos van",-approximately 1540,person,,,,,,
51,"Kalf, Willem",1619-1693,person,http://id.loc.gov/authorities/names/n90718235,http://viaf.org/viaf/52484309,http://vocab.getty.edu/ulan/500006439,data,http://www.wikidata.org/entity/Q28144,https://d-nb.info/gnd/118714899
51,"Pollard, James",1792-1867,person,http://id.loc.gov/authorities/names/nb2008001857,http://viaf.org/viaf/48757747,http://vocab.getty.edu/ulan/500018534,data,http://www.wikidata.org/entity/Q2582642,https://d-nb.info/gnd/136553052
51,"Marcke, Émile van",1827-1890,person,,,,,,
51,"Palamedes, Anthonie",1601-1673,person,,,,,,
51,"Modigliani, Amedeo",1884-1920,person,http://id.loc.gov/authorities/names/n79059541,http://viaf.org/viaf/17232808,http://vocab.getty.edu/ulan/500026509,data,http://www.wikidata.org/entity/Q120993,https://d-nb.info/gnd/118582941
51,"Venne, Adriaen Pietersz. van de",1589-1662,person,http://id.loc.gov/authorities/names/n85065308,http://viaf.org/viaf/107012486,http://vocab.getty.edu/ulan/500009810,data,http://www.wikidata.org/entity/Q367865,https://d-nb.info/gnd/11921332X
51,"La Tour, Georges du Mesnil de",1593-1652,person,http://id.loc.gov/authorities/names/n50043390,http://viaf.org/viaf/59091120,http://vocab.getty.edu/ulan/500012114,data,http://www.wikidata.org/entity/Q203371,https://d-nb.info/gnd/118570021
51,"Seyffert, Leopold",,person,http://id.loc.gov/authorities/names/nr89018260,http://viaf.org/viaf/47665216,http://vocab.getty.edu/ulan/500032610,data,http://www.wikidata.org/entity/Q6527056,https://d-nb.info/gnd/123282837
51,"Pollaiolo, Antonio",1426?-1498,person,http://id.loc.gov/authorities/names/n85265409,http://viaf.org/viaf/309812814,http://vocab.getty.edu/ulan/500013242,data,http://www.wikidata.org/entity/Q318640,https://d-nb.info/gnd/118638696
51,"Gérôme, Jean Léon",1824-1904,person,http://id.loc.gov/authorities/names/n50016499,http://viaf.org/viaf/22153153,http://vocab.getty.edu/ulan/500115563,data,http://www.wikidata.org/entity/Q212499,https://d-nb.info/gnd/119324695
51,"Romerswael, Marius van",1497-,person,,,,,,
51,"Johnston, John",-1818,person,,,,,,
51,"Marsh, Reginald",1898-1954,person,http://id.loc.gov/authorities/names/n50051395,http://viaf.org/viaf/5005976,http://vocab.getty.edu/ulan/500016727,data,http://www.wikidata.org/entity/Q7308806,https://d-nb.info/gnd/123072638
51,"Guérin, Jules Vallée",1866-1946,person,http://id.loc.gov/authorities/names/n84022801,http://viaf.org/viaf/75244946,http://vocab.getty.edu/ulan/500018717,data,http://www.wikidata.org/entity/Q6305870,https://d-nb.info/gnd/116482581X
51,"Beach, Thomas",1738-1806,person,http://id.loc.gov/authorities/names/nr2001024487,http://viaf.org/viaf/31924395,http://vocab.getty.edu/ulan/500020632,data,http://www.wikidata.org/entity/Q2422324,
50,"Moreau, Camille",1840-1897,person,http://id.loc.gov/authorities/names/nr94023919,http://viaf.org/viaf/36800886,http://vocab.getty.edu/ulan/500043486,data,http://www.wikidata.org/entity/Q13080821,https://d-nb.info/gnd/1219178888
50,"Kihn, W. Langdon",,person,http://id.loc.gov/authorities/names/nr96031582,http://viaf.org/viaf/39277834,http://vocab.getty.edu/ulan/500032219,data,http://www.wikidata.org/entity/Q7945792,https://d-nb.info/gnd/115897339X
50,"Abate, Nicolò dell'",approximately 1509-1571,person,http://id.loc.gov/authorities/names/n85241595,http://viaf.org/viaf/88804962,http://vocab.getty.edu/ulan/500011972,data,http://www.wikidata.org/entity/Q333563,https://d-nb.info/gnd/122955986
50,"Pantoja de la Cruz, Juan",1553-1608,person,http://id.loc.gov/authorities/names/no98111389,http://viaf.org/viaf/28277043,http://vocab.getty.edu/ulan/500005552,data,http://www.wikidata.org/entity/Q1380081,https://d-nb.info/gnd/13397281X
50,"Martini, Francesco di Giorgio",1439-1502,person,http://id.loc.gov/authorities/names/n78075973,http://viaf.org/viaf/56688760,http://vocab.getty.edu/ulan/500115162,data,http://www.wikidata.org/entity/Q434425,https://d-nb.info/gnd/118782339
50,"Holland, James",1800-1870,person,http://id.loc.gov/authorities/names/nr2003000176,http://viaf.org/viaf/34705986,http://vocab.getty.edu/ulan/500032785,data,http://www.wikidata.org/entity/Q5809954,https://d-nb.info/gnd/1052878547
50,"Vos, Maarten de",1532-1603,person,http://id.loc.gov/authorities/names/n81032181,http://viaf.org/viaf/88877213,http://vocab.getty.edu/ulan/500029816,data,http://www.wikidata.org/entity/Q555022,https://d-nb.info/gnd/118643177
50,"Hartley, Marsden",1877-1943,person,http://id.loc.gov/authorities/names/n79045444,http://viaf.org/viaf/9997024,http://vocab.getty.edu/ulan/500012910,data,http://www.wikidata.org/entity/Q553259,https://d-nb.info/gnd/118907689
50,"Dahl, Michael",1656-1743,person,http://id.loc.gov/authorities/names/nr2001019125,http://viaf.org/viaf/32270155,http://vocab.getty.edu/ulan/500031515,data,http://www.wikidata.org/entity/Q572743,https://d-nb.info/gnd/123880815
50,Orcagna,active 1343-1368,person,http://id.loc.gov/authorities/names/n94006281,http://viaf.org/viaf/89224890,http://vocab.getty.edu/ulan/500119427,data,http://www.wikidata.org/entity/Q366499,https://d-nb.info/gnd/119065037
50,"Strigel, Bernhard",1460 or 1461-1528,person,http://id.loc.gov/authorities/names/nr2003020097,http://viaf.org/viaf/49494641,http://vocab.getty.edu/ulan/500028571,data,http://www.wikidata.org/entity/Q637420,https://d-nb.info/gnd/11875596X
50,"Pajou, Augustin",1730-1809,person,http://id.loc.gov/authorities/names/n97100683,http://viaf.org/viaf/25425666,http://vocab.getty.edu/ulan/500015509,data,http://www.wikidata.org/entity/Q524291,https://d-nb.info/gnd/120123304
